id,name,category,subcategory,address,lat,lng,phone,operating_hours,status,source_date
20,수안주유소,공중화장실,공중화장실,"경기도 수원시 장안구 경수대로 1246 (파장동, 수안주유소)",37.3222384245,126.9883605675,,정시,영업,20231219
21,수원남부경찰서,공중화장실,공중화장실,경기도 수원시 영통구 매봉로 52(매탄동),37.2721182151,127.0545027476,,상시,영업,20231219
22,수원박물관,공중화장실,공중화장실,"경기도 수원시 영통구 창룡대로 265, 수원박물관 (이의동)",37.2976452252,127.0356337197,,정시,영업,20231219
23,수원백병원,공중화장실,공중화장실,"경기도 수원시 팔달구 정조로 793, 백내과병원 (팔달로2가)",37.2790348844,127.0162220005,,정시,영업,20231219
24,수원병원 2층 검진센타,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
25,수원병원 응급실 1층 접수옆,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
26,수원병원본관1층남쪽,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
27,수원병원본관2층남쪽,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
28,수원병원본관2층북쪽,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
29,수원병원장례식지하1층중앙,공중화장실,공중화장실,"경기도 수원시 장안구 수성로245번길 69, 경기도립수원의료원 (정자동)",37.2918869067,126.9963395675,,정시,영업,20231219
30,수원서부경찰서 민원관,공중화장실,공중화장실,경기도 수원시 권선구 서부로 1673 (탑동),37.2587369985,126.9722580508,,상시,영업,20231219
31,수원서부경찰서 본관,공중화장실,공중화장실,경기도 수원시 권선구 서부로 1673 (탑동),37.2587369985,126.9722580508,,상시,영업,20231219
